Back to Contents;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Table 25; CPI Weights: 2006 to 2018;;;;;;;;;;;;;;;;
; parts per 1000;;;;;;;;;;;;;;;;
;2015=100;;;;;;;;;;;;;;;;
;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;"2017 
Jan";"2017 
Feb-Dec";"2018
Jan";"2018
Feb-Dec"
;L84O;01.1.4.7 Eggs; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,40;1,20;1,20;1,20;1,20;1,20
;CJWF; 01.1.5 Oils and fats;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
;L84P;01.1.5.1 Butter; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,72;0,72;0,72;0,72;0,72;0,72
;L84U;01.1.5.2 Margarine and other vegetable fats; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,76;0,76;0,76;0,76;0,68;0,68
;L84V;01.1.5.3 Olive oil; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,52;0,52;0,52;0,52;0,60;0,60
;CJWG; 01.1.6 Fruit;8;9;9;10;9;12;9;9;10;10;9;9;9;9;9
;L84W;01.1.6.1 Fresh or chilled fruit; ..; ..; ..; ..; ..; ..; ..; ..; ..;7,20;7,20;7,20;7,20;7,29;7,29
;L84X;01.1.6.3 Dried fruit and nuts; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,44;1,44;1,44;1,44;1,35;1,35
;L852;01.1.6.4 Preserved fruit and fruit-based products; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,36;0,36;0,36;0,36;0,36;0,36
;CJWH; 01.1.7 Vegetables including potatoes and tubers;14;14;15;16;15;16;15;14;15;14;13;13;13;13;13
;L853;01.1.7.1 Fresh or chilled vegetables other than potatoes and other tubers ; ..; ..; ..; ..; ..; ..; ..; ..; ..;5,74;5,33;5,33;5,33;5,33;5,33
;L856;01.1.7.2 Frozen vegetables other than potatoes and other tubers ; ..; ..; ..; ..; ..; ..; ..; ..; ..;0,56;0,52;0,52;0,52;0,52;0,52
;L857;01.1.7.3 Dried vegetables, other preserved or processed vegetables; ..; ..; ..; ..; ..; ..; ..; ..; ..;1,82;1,69;1,69;1,69;1,69;1,69
;L858;01.1.7.4 Potatoes; ..; ..; ..; ..; ..; ..; ..; ..; ..;2,38;2,21;2,21;2,21;2,21;2,21
;L859;01.1.7.5 Crisps; ..; ..; ..; ..; ..; ..; ..; ..; ..;3,22;2,99;2,99;2,99;2,99;2,99
