Back to Contents;;;;;;;;;;;;;;;;
;;THE FIGURES IN THIS TABLE ARE NOT NATIONAL STATISTICS;;;;;;;;;;;;;;
Table 41;RPI Detailed changes: latest 13 months 4;;;;;;;;;;;;;;;
;Percentage change over 12 months;;;;;;;;;;;;;;;
;;; Annual;;;;;;;;;;;;;
; per cent;;change;;;;;;;;;;;;;
;;;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
;CZBH; ALL ITEMS;3,6;3,9;3,9;4,0;3,9;4,1;4,0;3,6;3,3;3,4;3,3;3,4;3,2;3,5
;;;;;;;;;;;;;;;;
;CZBJ; Food and catering;2,5;2,4;3,2;3,8;3,7;3,7;3,3;2,6;2,7;2,6;2,3;2,2;2,4;2,6
;CZBK; Alcohol and tobacco;3,7;3,7;3,7;3,8;3,8;4,5;4,5;4,5;3,2;3,5;3,6;3,6;3,2;3,5
;CZBL; Housing and household expenditure;2,8;3,4;3,0;3,1;3,0;3,2;3,3;3,1;2,8;3,3;2,7;2,9;2,7;2,9
;CZBM; Personal expenditure;5,6;6,5;6,1;6,3;6,1;6,2;5,9;5,9;5,0;4,5;4,5;3,9;3,5;4,0
;CZBN; Travel and leisure;4,8;5,0;4,9;4,9;4,8;5,2;4,7;4,1;3,9;3,4;4,5;4,6;4,5;4,6
;CZBO; Consumer durables 1;6,5;8,6;8,0;7,2;6,8;6,8;6,9;7,2;5,5;5,5;4,3;3,5;3,1;3,3
;CZBP; Seasonal food;2,8;2,9;3,0;3,9;3,7;3,5;4,6;2,1;1,9;2,0;2,2;2,0;2,4;2,7
;CZBQ; Food excluding seasonal;2,1;2,0;3,3;4,2;4,1;4,1;3,3;2,6;2,9;2,7;2,2;2,0;2,2;2,3
;DOED; All items excluding seasonal food;3,6;3,9;3,8;3,9;3,9;4,1;4,0;3,6;3,4;3,3;3,4;3,4;3,3;3,5
;CCYX; All items excluding food;3,7;4,1;3,9;3,9;3,9;4,1;4,0;3,8;3,4;3,4;3,5;3,5;3,4;3,6
;DOGD; All goods;4,0;4,2;4,5;4,5;4,2;4,5;4,1;3,7;3,2;3,6;3,6;3,8;3,6;3,7
;DOGE; All services;3,4;4,0;3,7;3,8;3,8;3,9;3,9;3,6;3,5;2,9;3,0;2,9;2,9;3,1
;;;;;;;;;;;;;;;;
;; Other indices;;;;;;;;;;;;;;
;; All items excluding:;;;;;;;;;;;;;;
;CDKQ; mortgage interest payments (RPIX);3,8;4,1;4,1;4,2;4,0;4,2;4,0;3,6;3,4;3,4;3,4;3,4;3,3;3,4
;CZBI; housing;4,1;4,5;4,5;4,5;4,4;4,6;4,4;4,0;3,6;3,5;3,6;3,6;3,5;3,6
;DOFZ; mortgage interest payments and council tax;3,8;4,1;4,1;4,2;4,0;4,2;4,0;3,6;3,3;3,3;3,3;3,4;3,2;3,3
;DOGT; mortgage interest payments and depreciation 3;3,7;4,1;4,1;4,1;4,0;4,2;4,0;3,7;3,4;3,3;3,4;3,4;3,3;3,5
;;;;;;;;;;;;;;;;
;CCYY; Food;2,3;2,1;3,2;4,1;4,0;4,0;3,5;2,5;2,7;2,6;2,2;2,0;2,3;2,4
;CCYZ; Bread;3,9;4,2;4,6;5,6;5,3;6,6;5,9;5,0;4,9;5,4;4,2;3,6;5,3;4,1
;CCZA; Cereals;1,5;2,1;0,6;2,2;1,6;4,0;2,2;0,7;0,9;1,3;-1,1;0,6;0,9;-1,4
;CDIJ; Biscuits and cakes;2,8;2,8;3,1;4,6;6,7;4,4;4,3;4,0;-0,1;-1,4;3,3;1,3;-0,1;1,3
;CDIK; Beef;0,2;2,3;2,3;1,4;1,8;2,4;1,6;0,5;-0,6;2,1;-1,4;-0,8; -;-1,1
;CDIL; Lamb;4,0;6,1;4,9;7,6;8,1;7,2;9,9;8,0;9,1;10,5;12,4;12,6;13,9;10,9
;CDIM; of which home-killed lamb;1,7;4,3;0,6;3,5;3,2;-0,8;2,4;2,6;6,4;8,7;12,2;12,1;14,1;8,3
;WSFN; imported lamb;6,2;7,9;9,1;11,6;12,7;14,9;17,4;13,2;11,5;11,6;11,8;12,5;13,0;13,0
;CDIN; Pork;0,6;-3,3;-2,1;1,3;1,4;6,4;-0,3;-3,0;0,4;3,9;-2,3;-0,8;-2,3;1,5
;CDIO; Bacon;-0,1;3,3;0,4;4,5;0,5;0,4;3,0;2,2;4,7;0,2;1,6;1,4;1,0;0,1
;CDIP; Poultry;-1,7;-1,4;0,6;-2,2;-1,4;-1,6;0,8;-1,5;-0,4;-1,1;1,0; -;0,4;0,3
;CDIQ; Other meat;2,6;1,1;3,5;4,3;4,8;4,6;2,1;2,7;3,0;1,3;1,5;-0,5;0,6;1,9
;CDIR; Fish;7,1;8,8;11,7;6,3;8,7;9,6;8,6;5,1;4,3;4,9;4,7;2,5;2,4;2,2
;CDIS; of which fresh fish;8,2;9,9;13,5;5,5;11,2;7,2;7,0;3,2;1,6;4,2;2,8;1,8;0,3;0,3
;WSFP; processed fish;6,0;7,8;9,9;7,1;6,3;12,0;10,1;7,0;6,9;5,6;6,6;3,2;4,5;4,1
;CDIT; Butter;10,5;11,2;19,5;20,3;21,6;17,7;13,0;13,7;15,5;13,8;18,6;14,3;17,0;15,2
;CDIU; Oils and fats;2,5;1,2;9,2;-3,2;-0,3;4,3;2,0;-1,1;4,1;12,0;-0,6;-0,7;6,8;-8,0
