Back to Contents;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Table 30; CPI: Detailed goods and services breakdown: 2005 to 2017 1,2;;;;;;;;;;;;;;
;Percentage change over 12 months;;;;;;;;;;;;;;
;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;D7HA; Catering services;3,0;3,0;3,6;4,1;2,8;3,1;4,7;3,2;2,8;2,4;1,5;2,2;2,8
;DKO2; Non-catering recreational & personal services;3,9;4,3;4,0;3,1;3,3;3,6;4,6;2,6;3,0;2,6;2,7;3,7;1,8
;;;;;;;;;;;;;;;
;DKO4; Miscellaneous & other services;6,6;5,7;4,6;4,9;3,0;2,0;2,0;4,0;5,5;3,0;3,5;2,9;2,2
;DKO3; Miscellaneous services;7,3;5,2;1,6;2,5;1,1;-0,1;0,1;2,2;1,4;-0,2;1,1;1,7;0,9
;DKO5; Medical services;5,6;5,8;5,2;4,8;3,9;4,9;4,7;4,2;3,9;3,1;2,4;2,9;3,6
;D7GH; Education;4,9;7,3;13,7;11,7;7,6;5,3;5,2;8,7;17,2;10,2;8,5;4,7;3,8
;;;;;;;;;;;;;;;
;; Special aggregates;;;;;;;;;;;;;
;DKK4; Durables;-2,2;-2,3;-1,5;-2,2;0,8;2,7;-0,1;-0,9;-1,2;-0,4;-2,2;-1,4;2,7
;DKK5; Semi-durables;-3,9;-3,0;-2,1;-3,8;-3,9;-;1,6;1,1;1,0;0,6;-0,2;-0,2;1,7
;DKK6; Non-durables;0,7;1,9;2,4;3,2;4,0;3,6;4,2;2,3;1,0;1,2;-0,2;-0,1;1,1
;DKL3; Seasonal food;2,3;2,7;6,3;7,5;5,4;5,5;4,0;3,2;6,5;-2,0;-2,5;-1,9;3,4
;DKK7; Non-seasonal food;1,5;2,1;3,8;11,2;5,6;2,0;5,5;3,0;3,1;0,5;-2,9;-2,6;2,1
;DKP8; Energy, food, alcoholic beverages & tobacco;4,2;6,2;4,6;10,6;3,5;4,7;8,4;4,3;4,1;0,8;-3,4;-1,7;3,9
;DKP9; Energy & unprocessed food;6,5;9,3;5,0;13,6;2,5;5,1;9,2;4,4;4,0;-0,2;-5,7;-2,7;4,6
;DKQ2; Energy & seasonal food;8,2;11,1;5,6;14,3;1,6;5,9;10,0;4,5;4,1;-0,4;-6,3;-2,3;5,3
;D7GN; Tobacco;4,4;4,5;5,3;4,4;4,0;7,7;11,0;8,5;7,7;7,6;5,6;4,9;5,9
;D7GB; Housing, water, electricity, gas & other fuels;6,3;9,2;5,0;8,6;4,3;0,4;5,5;5,0;4,1;3,0;0,5;0,2;1,8
;DKQ3; Education, health & social protection 2;4,3;4,8;7,2;6,4;4,9;3,9;4,0;4,8;7,5;5,4;4,8;3,5;3,4
;;;;;;;;;;;;;;;
;; All items excluding;;;;;;;;;;;;;
;DKO7; Energy;1,6;1,5;2,1;2,6;2,3;3,0;3,7;2,6;2,5;1,6;0,7;0,9;2,4
