Back to Contents;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Table 4; CPI: Detailed figures by divisions, groups and classes1;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;; Percentage change;;;Percentage change over 12 months;;;;;;;;
;;;;;;; Weights;; Index (2015=100);;; over 1 month;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2018;;2017;2018;;2017;2018;;2017;2018;2018;2018;2018;2018;2018;2018;2018
;;;;;;;Feb-Dec;;Aug;Aug;;Aug;Aug;;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug
Weights;Indices;1-month rate;12-month rate;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
CJUZ;D7CA;D7JW;D7GM;;02.1 Alcoholic beverages;;20;;100,5;100,9;;0,3;1,7;;2,7;2,2;3,2;0,8;1,4;0,3;0,3;-0,9;0,4
CJWM;D7DG;D7L4;D7HS;;02.1.1 Spirits;;6;;100,7;99,0;;2,3;1,3;;1,5;0,4;5,0;-2,4;-1,4;-1,3;0,2;-0,7;-1,7
CJWN;D7DH;D7L5;D7HT;;02.1.2 Wine;;9;;98,1;99,0;;-0,9;2,0;;3,0;1,8;2,3;3,4;2,5;1,1;1,1;-2,0;0,9
CJWO;D7DI;D7L6;D7HU;;02.1.3 Beer;;5;;104,5;106,9;;0,2;1,6;;3,8;5,1;2,9;0,2;3,0;1,0;-1,0;0,9;2,3
;;;;;;;;;;;;;;;;;;;;;;;
CJWP;D7CB;D7JX;D7GN;;02.2 Tobacco;;22;;111,2;119,2;;-0,1;-0,2;;8,0;8,3;7,8;5,8;6,1;7,2;7,3;7,3;7,2
;;;;;;;;;;;;;;;;;;;;;;;
CJVA;D7CC;D7JY;D7GO;;03.1 Clothing;;58;;101,8;102,1;;2,4;3,3;;3,4;4,1;4,1;2,6;1,7;1,3;0,1;-0,5;0,3
CJWR;D7DK;D7L9;D7HW;;03.1.2 Garments;;52;;102,0;102,1;;2,7;3,5;;3,7;4,2;4,1;2,7;1,7;1,4;0,1;-0,7;0,1
CJWS;D7DL;D7LA;D7HX;;03.1.3 Other clothing and clothing accessories;;5;;98,2;100,4;;-0,4;1,5;;0,1;2,7;3,9;1,7;0,5;-0,7;-0,9;0,4;2,3
CJWT;D7DM;D7LB;D7HY;;03.1.4 Cleaning, repair and hire of clothing;;1;;105,0;107,7;;0,1;-0,1;;2,3;2,0;2,1;2,3;2,3;2,4;2,5;2,7;2,5
;;;;;;;;;;;;;;;;;;;;;;;
CJVB;D7CD;D7JZ;D7GP;;03.2 Footwear including repairs;;12;;99,5;99,3;;2,1;2,4;;1,2;0,2;2,8;1,8;1,7;2,1;1,1;-0,4;-0,2
;;;;;;;;;;;;;;;;;;;;;;;
CJVC;D7CE;D7K2;D7GQ;;04.1 Actual rentals for housing;;86;;102,8;103,3;;0,1;0,1;;0,6;0,3;0,3;0,3;0,4;0,4;0,4;0,5;0,5
;;;;;;;;;;;;;;;;;;;;;;;
CJVD;D7CF;D7K3;D7GR;;04.3 Regular maintenance and repair of the dwelling;;3;;99,2;100,4;;-0,3;0,1;;-0,4;-0,4;0,2;0,2;0,7;0,6;1,2;0,8;1,2
CJWU;D7DN;D7LC;D7HZ;;04.3.1 Materials for maintenance and repair;;1;;96,9;99,2;;-0,7;0,4;;-1,6;-1,5;-0,1;0,2;1,5;1,0;2,7;1,3;2,4
CJWV;D7DO;D7LE;D7I2;;04.3.2 Services for maintenance and repair;;2;;101,5;102,4;;0,1; -;;0,8;0,7;0,7;0,8;0,9;1,0;1,0;1,0;0,8
;;;;;;;;;;;;;;;;;;;;;;;
CJVE;D7CG;D7K4;D7GS;;04.4 Water supply and misc. services for the dwelling;;11;;102,9;105,7;; -; -;;1,8;1,8;1,8;1,8;2,7;2,7;2,7;2,7;2,7
CJWW;D7DR;D7LH;D7I5;;04.4.1 Water supply;;5;;101,8;104,1;; -; -;;1,4;1,4;1,4;1,4;2,2;2,2;2,2;2,2;2,2
CJWY;D7DQ;D7LG;D7I4;;04.4.3 Sewerage collection;;6;;104,1;107,3;; -; -;;2,1;2,1;2,1;2,1;3,1;3,1;3,1;3,1;3,1
;;;;;;;;;;;;;;;;;;;;;;;
CJVF;D7CH;D7K5;D7GT;;04.5 Electricity, gas and other fuels;;34;;101,7;108,3;;0,1; -;;6,3;6,4;6,4;6,2;5,7;3,7;6,0;6,6;6,5
CJXA;D7DT;D7LJ;D7I7;;04.5.1 Electricity;;17;;108,7;116,7;; -; -;;11,4;11,4;11,4;10,4;8,6;4,5;6,8;7,4;7,4
CJXB;D7DU;D7LK;D7I8;;04.5.2 Gas;;15;;93,3;97,3;; -; -;;0,1;0,6;0,6;0,6;1,6;1,1;3,7;4,3;4,3
CJXC;D7DV;D7LM;D7I9;;04.5.3 Liquid fuels;;1;;104,3;137,2;;4,5;1,2;;16,5;11,3;11,1;23,0;23,3;37,1;38,3;35,9;31,5
CJXD;D7DW;D7LN;D7IA;;04.5.4 Solid fuels;;1;;100,8;102,4;; -;0,2;;2,5;2,6;2,1;2,3;2,1;0,7;0,8;1,4;1,6
;;;;;;;;;;;;;;;;;;;;;;;
CJVG;D7CI;D7K6;D7GU;;05.1 Furniture, furnishings and carpets;;22;;106,0;105,5;;3,3;3,7;;3,3;3,4;4,0;1,6;2,5;0,2;0,2;-0,9;-0,5
CJXF;D7DY;D7LP;D7IC;;05.1.1 Furniture and furnishings;;18;;106,0;105,1;;4,0;4,3;;3,6;3,7;4,4;1,7;2,5;-0,1; -;-1,2;-0,9
CJXG;D7DZ;D7LQ;D7ID;;05.1.2 Carpets and other floor coverings;;4;;105,5;105,9;;-0,1;0,7;;1,6;1,6;1,3;0,5;2,2;0,6;0,5;-0,4;0,5
;;;;;;;;;;;;;;;;;;;;;;;
CJVH;D7CJ;D7K7;D7GV;;05.2 Household textiles;;7;;99,7;99,4;;2,5;0,7;;0,8;1,3;2,7;1,0;2,0;-0,4;0,5;1,5;-0,2
;;;;;;;;;;;;;;;;;;;;;;;
CJVI;D7CK;D7K8;D7GW;;05.3 Household appliances, fitting and repairs ;;9;;105,5;110,7;;1,1;0,2;;5,5;5,9;7,2;7,5;4,3;8,7;7,2;5,9;4,9
CJXI;D7E3;D7LS;D7IF;;05.3.1/2 Major appliances and small electric goods;;8;;105,8;111,6;;1,3;0,2;;6,1;6,6;8,1;8,4;4,8;9,8;8,1;6,6;5,4
CJXJ;D7E4;D7LT;D7IG;;05.3.3 Repair of household appliances;;1;;102,8;103,8;; -; -;;0,8;0,9;0,9;0,8;0,9;1,0;1,0;0,9;0,9
;;;;;;;;;;;;;;;;;;;;;;;
CJVJ;D7CL;D7K9;D7GX;;05.4 Glassware, tableware and household utensils;;5;;100,1;99,7;;1,8;0,6;;2,8;2,5;0,1;-0,2;2,0;0,1;-0,3;0,9;-0,4
;;;;;;;;;;;;;;;;;;;;;;;
CJVK;D7CM;D7KA;D7GY;;05.5 Tools and equipment for house and garden;;5;;102,0;106,8;;0,5;-0,5;;5,2;5,0;5,1;6,4;7,5;6,7;7,7;5,7;4,7
;;;;;;;;;;;;;;;;;;;;;;;
CJVL;D7CN;D7KB;D7GZ;;05.6 Goods and services for routine maintenance;;13;;102,3;102,2;;-0,2;-1,0;;2,7;1,6;1,1;1,8;1,0;2,3;1,7;0,7;-0,1
CJXK;D7E5;D7LU;D7IH;;05.6.1 Non-durable household goods;;5;;96,0;91,6;;-1,2;-2,9;;2,2;-0,7;-1,6;0,2;-1,7;1,5;-0,4;-2,9;-4,6
CJXL;D7E6;D7LV;D7II;;05.6.2 Domestic services and household services;;8;;106,4;109,3;;0,3;0,2;;3,0;3,0;2,9;2,8;2,8;2,8;3,0;2,9;2,7
;;;;;;;;;;;;;;;;;;;;;;;
JKWO;D7F6;D7MW;D7NO;;06.1 Medical products, appliances and equipment;;10;;103,1;104,6;;-0,1;0,4;;1,6;2,1;1,6;1,6;1,8;1,1;1,1;0,9;1,5
CJYA;D7F7;D7MX;D7NP;;06.1.1 Pharmaceutical products;;6;;104,5;106,7;; -;0,7;;2,4;3,1;2,5;2,7;3,0;1,9;2,0;1,4;2,1
CJYH;D7F8;D7MY;D7NQ;;06.1.2/3 Other medical and therapeutic equipment;;4;;101,0;101,4;;-0,2;0,1;;0,4;0,7;0,3;0,1;0,1;-0,1;-0,2;0,2;0,5
;;;;;;;;;;;;;;;;;;;;;;;
ICVJ;D7F9;D7MZ;D7NR;;06.2 Out-patient services;;8;;104,9;107,5;;0,2;0,2;;2,6;2,5;2,5;2,8;2,6;2,4;2,5;2,5;2,5
ICVK;D7FA;D7N2;D7NS;;06.2.1/3 Medical services & paramedical services;;5;;102,5;104,2;;0,3;0,2;;1,3;1,3;1,3;1,6;1,9;1,6;1,8;1,8;1,6
ICVL;D7FB;D7N3;D7NT;;06.2.2 Dental services;;3;;107,7;111,9;;0,1;0,2;;3,8;3,7;3,7;3,8;3,8;3,6;3,8;3,9;3,9
;;;;;;;;;;;;;;;;;;;;;;;
ICVM;D7FC;D7N4;D7NU;;06.3 Hospital services;;7;;109,8;114,3;; -;0,1;;6,5;4,9;4,9;4,8;4,5;4,6;4,5;4,1;4,1
;;;;;;;;;;;;;;;;;;;;;;;
CJVM;D7CO;D7KC;D7H2;;07.1 Purchase of vehicles;;49;;99,1;103,1;;-0,3; -;;2,8;2,1;1,6;2,4;2,9;3,6;4,4;3,8;4,1
CJXN;D7E8;D7LX;D7IK;;07.1.1A New cars;;28;;103,8;108,8;;-0,3;0,2;;3,9;3,4;2,9;3,6;4,2;4,8;5,6;4,3;4,8
CJXO;D7E9;D7LY;D7IL;;07.1.1B Second-hand cars;;18;;91,5;94,4;;-0,2;-0,2;;0,5;-0,2;-0,5;0,7;1,0;2,2;3,1;3,2;3,2
CJXP;D7EA;D7LZ;D7IM;;07.1.2/3 Motorcycles and bicycles;;3;;101,1;103,8;;-0,2;-0,1;;5,5;5,2;2,3;0,9;2,7;0,9;2,2;2,5;2,7
;;;;;;;;;;;;;;;;;;;;;;;
CJVN;D7CP;D7KD;D7H3;;07.2 Operation of personal transport equipment ;;73;;105,4;113,2;;0,8;0,6;;4,2;3,4;3,0;2,9;3,5;5,7;7,1;7,6;7,4
CJXQ;D7EB;D7M2;D7IN;;07.2.1 Spare parts and accessories;;5;;104,6;106,3;;1,1;0,3;;2,7;3,1;3,0;3,5;2,7;2,6;2,2;2,4;1,6
CJXR;D7EC;D7M3;D7IO;;07.2.2 Fuels and lubricants;;31;;103,7;115,8;;1,6;1,0;;4,7;2,1;0,8;0,3;3,1;8,0;11,6;12,4;11,7
